38	17	64	38	17
23	23	85	85	43
54	97	80	71	86
38	38	81	81	81
45	84	35	84	45
42	78	63	42	18
58	94	94	56	58
52	19	23	19	52
41	14	36	11	39
90	52	90	93	90
66	20	93	93	20
77	79	80	55	86
26	75	38	38	47
66	92	59	39	39
94	85	96	30	30
67	79	15	35	54
31	72	37	85	91
57	37	37	24	57
84	98	90	90	90
85	46	91	36	50
96	96	73	85	87
70	91	70	54	21
47	18	47	12	18
65	64	64	65	86
13	55	57	25	63
60	29	60	89	89
10	99	57	88	10
32	32	93	89	89
89	36	89	34	86
79	83	83	83	79
37	42	49	37	49
40	40	40	29	48
99	48	99	48	95
10	55	41	84	98
64	82	34	30	34
39	18	18	84	39
23	58	81	23	83
25	28	81	28	81
24	39	39	70	39
95	95	95	89	90
60	32	98	32	29
96	96	38	38	63
99	86	99	66	86
67	22	44	43	46
96	96	63	52	27
18	17	17	18	96
55	89	75	81	75
50	64	78	78	78
88	63	52	50	25
15	19	64	64	51
48	79	64	86	69
26	26	47	93	26
37	43	33	15	33
38	87	25	87	87
47	73	96	22	65
17	13	35	17	36
99	93	99	41	93
34	30	90	99	52
40	16	16	16	48
80	40	22	80	40
77	59	34	10	57
12	12	41	57	57
47	72	63	71	26
51	81	81	56	56
65	37	60	65	35
28	50	73	99	99
49	49	72	52	72
61	10	48	48	61
76	63	58	91	16
87	65	33	26	35
49	37	73	36	24
39	90	84	84	90
11	11	56	42	41
56	56	83	59	83
75	59	34	32	71
91	26	90	91	26
58	58	83	15	94
48	32	82	34	81
46	62	64	62	15
71	23	12	51	19
69	41	57	29	11
98	98	51	98	51
57	49	57	57	49
96	44	97	97	44
98	54	67	54	54
56	56	20	51	77
18	56	18	29	29
13	88	95	52	13
39	14	39	46	46
21	29	29	86	47
10	10	20	20	29
23	54	72	72	54
89	29	89	25	29
95	85	85	71	99
55	47	43	47	55
21	91	11	11	21
83	16	48	83	77
94	94	90	86	86
87	45	87	76	76
99	29	20	29	79
69	55	62	38	64
84	31	94	31	84
32	12	82	33	45
53	82	49	44	44
75	14	69	75	10
77	14	95	90	77
86	42	86	14	42
79	29	11	29	79
49	26	96	26	13
23	97	23	77	97
73	36	73	89	51
49	77	20	20	85
63	53	38	38	63
73	97	77	94	97
25	48	47	25	47
75	57	26	58	75
42	92	99	38	20
54	22	31	74	22
46	46	46	28	80
88	88	27	27	88
25	68	47	42	25
16	37	65	61	12
56	40	65	56	56
61	38	38	47	38
58	58	91	58	28
43	10	56	60	20
32	31	38	38	31
28	80	84	92	80
25	25	39	25	26
18	42	18	27	27
63	63	20	80	80
52	43	43	77	52
44	43	28	79	43
52	77	58	18	36
49	14	56	80	24
21	95	40	40	40
12	10	28	97	90
40	65	92	30	30
12	90	41	73	22
88	64	98	10	25
94	56	91	94	13
54	47	96	96	54
35	60	25	54	87
16	11	11	70	70
98	98	86	22	98
69	72	69	72	63
64	89	30	89	30
59	39	59	39	92
22	85	85	67	22
17	17	18	25	18
93	47	38	22	93
59	59	64	49	59
85	14	14	64	64
50	34	34	13	50
61	96	96	65	96
88	15	47	91	87
98	45	98	98	45
87	80	80	20	87
13	69	13	66	66
34	86	56	54	24
40	33	27	33	71
67	82	36	80	58
84	81	31	81	35
24	74	50	50	74
46	83	94	89	51
97	37	97	97	60
56	28	41	86	34
34	54	87	54	87
44	95	56	72	39
99	99	87	68	30
87	28	67	35	42
38	60	25	12	12
85	49	17	85	49
22	18	85	81	54
12	27	12	12	92
73	63	90	28	95
17	53	53	63	17
13	12	13	13	44
53	11	41	93	83
57	24	91	91	24
15	61	40	61	61
22	62	96	62	81
39	66	93	74	57
62	82	47	82	62
35	83	35	35	26
15	20	16	16	14
41	87	16	41	22
24	46	64	24	58
22	73	48	81	81
38	99	52	64	38
35	85	33	87	87
28	28	36	99	99
54	54	12	99	34
27	13	13	57	13
10	43	58	60	26
82	25	25	55	95
72	16	47	49	16
81	15	74	81	77
67	68	18	71	67
66	47	29	29	84
41	52	14	41	52
59	92	59	29	29
60	90	17	55	61
18	92	91	13	13
13	89	86	99	13
37	37	64	79	64
18	14	18	24	14
13	10	35	20	88
48	91	43	43	35
96	55	55	62	55
28	17	60	47	60
38	82	56	57	59
83	64	37	95	68
63	89	63	93	93
15	74	59	17	11
83	93	93	93	32
78	78	18	20	20
19	13	19	34	13
20	13	27	27	19
39	45	92	92	45
33	74	19	77	74
62	60	28	62	68
48	43	11	29	29
72	72	82	72	87
54	54	63	34	54
56	52	97	56	97
65	65	46	41	65
99	87	60	91	82
30	28	30	66	30
33	92	21	99	47
10	51	61	61	25
66	32	13	87	13
